year,month,month_name,total_trips,date,month_id,avg_rainfall_mm,total_rainfall_mm,rainy_days,avg_max_temp,avg_min_temp
2020,1,January,57098170.0,2020-01-01,2020-01,2.0451612903225804,63.4,11,28.97741935483871,20.44193548387097
2020,2,February,60289465.0,2020-02-01,2020-02,13.62758620689655,395.2,17,27.46551724137931,19.95862068965517
2020,3,March,45048295.0,2020-03-01,2020-03,4.432258064516129,137.4,19,25.53548387096774,17.706451612903226
2020,4,April,12186661.0,2020-04-01,2020-04,1.0799999999999998,32.4,10,24.796666666666667,15.396666666666667
2020,5,May,18970297.0,2020-05-01,2020-05,3.5870967741935487,111.2,12,20.041935483870965,11.51290322580645
2020,6,June,28093950.0,2020-06-01,2020-06,2.6733333333333333,80.2,15,18.53666666666667,9.823333333333332
2020,7,July,30981173.0,2020-07-01,2020-07,4.109677419354838,127.39999999999999,13,17.703225806451613,9.77741935483871
2020,8,August,29776835.0,2020-08-01,2020-08,2.1096774193548384,65.39999999999999,8,19.4,9.374193548387098
2020,9,September,31752323.0,2020-09-01,2020-09,1.0333333333333334,31.0,7,22.986666666666668,12.889999999999999
2020,10,October,33452574.0,2020-10-01,2020-10,2.103225806451613,65.2,13,24.30322580645161,15.254838709677419
2020,11,November,35210189.0,2020-11-01,2020-11,1.3933333333333335,41.800000000000004,11,26.723333333333336,16.98
2020,12,December,32616769.0,2020-12-01,2020-12,2.4129032258064513,74.8,16,26.177419354838708,18.403333333333332
2021,1,January,27921446.0,2021-01-01,2021-01,1.9774193548387098,61.300000000000004,14,27.648387096774194,19.34333333333333
2021,2,February,36203854.0,2021-02-01,2021-02,4.3,120.4,14,25.925,19.35925925925926
2021,3,March,41930788.0,2021-03-01,2021-03,11.393548387096773,353.2,18,24.896774193548385,17.9
2021,4,April,40552149.0,2021-04-01,2021-04,0.5566666666666666,16.7,4,23.833333333333332,14.213333333333333
2021,5,May,41956834.0,2021-05-01,2021-05,2.883870967741936,89.4,9,20.638709677419353,12.280645161290321
2021,6,June,34433909.0,2021-06-01,2021-06,3.2733333333333334,98.2,12,18.14333333333333,9.473333333333333
2021,7,July,11096000.0,2021-07-01,2021-07,1.1161290322580646,34.6,10,18.135483870967743,8.916129032258064
2021,8,August,9086788.0,2021-08-01,2021-08,2.858064516129032,88.6,5,20.35483870967742,9.735483870967743
2021,9,September,9899727.0,2021-09-01,2021-09,1.5599999999999998,46.8,9,22.316666666666666,11.553333333333335
2021,10,October,19416167.0,2021-10-01,2021-10,2.193548387096774,68.0,13,23.919354838709676,14.125806451612902
2021,11,November,29474813.0,2021-11-01,2021-11,4.6066666666666665,138.2,17,22.573333333333334,15.9
2021,12,December,28019117.0,2021-12-01,2021-12,2.6774193548387095,83.0,18,25.561290322580643,17.980645161290322
2022,1,January,20612534.0,2022-01-01,2022-01,3.5548387096774197,110.2,14,27.516129032258064,20.551724137931036
2022,2,February,27520237.0,2022-02-01,2022-02,13.707142857142857,383.8,19,26.825,19.285714285714285
2022,3,March,34533253.0,2022-03-01,2022-03,15.787096774193548,489.4,24,24.36774193548387,18.43548387096774
2022,4,April,34541683.0,2022-04-01,2022-04,8.48,254.4,19,23.459999999999997,15.746666666666666
2022,5,May,39831625.0,2022-05-01,2022-05,6.4387096774193555,199.60000000000002,16,20.9741935483871,12.66451612903226
2022,6,June,40386264.0,2022-06-01,2022-06,0.32,9.6,6,17.833333333333332,8.6
2022,7,July,35678755.0,2022-07-01,2022-07,11.103225806451613,344.2,19,17.05806451612903,9.567741935483872
2022,8,August,39726817.0,2022-08-01,2022-08,1.864516129032258,57.8,9,19.551612903225806,10.345161290322581
2022,9,September,39300121.0,2022-09-01,2022-09,2.6533333333333333,79.6,17,20.08,12.216666666666667
2022,10,October,42085042.0,2022-10-01,2022-10,8.36774193548387,259.4,21,22.73548387096774,14.861290322580645
2022,11,November,40484935.0,2022-11-01,2022-11,1.3800000000000001,41.400000000000006,9,23.9,15.143333333333334
2022,12,December,42734291.0,2022-12-01,2022-12,1.5032258064516129,46.6,9,24.929032258064513,16.53548387096774
2023,1,January,40964219.0,2023-01-01,2023-01,4.296774193548386,133.2,18,26.551612903225806,19.125806451612902
2023,2,February,46814658.0,2023-02-01,2023-02,6.857142857142857,192.0,12,27.82857142857143,19.875
2023,3,March,53708668.0,2023-03-01,2023-03,1.0709677419354837,33.199999999999996,11,28.364516129032257,19.483870967741936
2023,4,April,43575407.0,2023-04-01,2023-04,3.9933333333333336,119.80000000000001,14,22.876666666666665,14.76
2023,5,May,52074274.0,2023-05-01,2023-05,1.8,55.800000000000004,5,20.07741935483871,9.961290322580645
2023,6,June,49893293.0,2023-06-01,2023-06,0.47333333333333333,14.2,6,19.413333333333334,9.483333333333333
2023,7,July,48968013.0,2023-07-01,2023-07,1.903225806451613,59.0,5,20.048387096774192,9.32258064516129
2023,8,August,54565883.0,2023-08-01,2023-08,1.8774193548387097,58.2,11,20.15806451612903,10.461290322580645
2023,9,September,52017302.0,2023-09-01,2023-09,0.9333333333333333,28.0,8,23.510344827586206,12.183333333333334
2023,10,October,53645206.0,2023-10-01,2023-10,1.0064516129032257,31.2,8,25.26774193548387,14.567741935483872
2023,11,November,53919493.0,2023-11-01,2023-11,4.373333333333333,131.2,16,24.779310344827586,17.362068965517242
2023,12,December,48810669.0,2023-12-01,2023-12,4.67741935483871,145.0,12,27.503333333333334,18.96333333333333
2024,1,January,47682619.54,2024-01-01,2024-01,2.1225806451612903,65.8,12,28.358064516129033,20.809677419354838
2024,2,February,55191859.39000001,2024-02-01,2024-02,5.068965517241379,147.0,10,28.07241379310345,20.32758620689655
2024,3,March,57938017.919999994,2024-03-01,2024-03,1.5870967741935482,49.199999999999996,8,27.29032258064516,19.04516129032258
2024,4,April,51900615.01999999,2024-04-01,2024-04,6.206666666666667,186.20000000000002,9,23.34333333333333,15.376666666666667
2024,5,May,56628689.52,2024-05-01,2024-05,7.148387096774194,221.6,11,19.993548387096773,12.383870967741935
2024,6,June,50102141.98,2024-06-01,2024-06,10.38,311.40000000000003,10,17.52,9.29
2024,7,July,53222069.92999999,2024-07-01,2024-07,2.729032258064516,84.6,15,17.53548387096774,9.448387096774193
2024,8,August,57798536.36999998,2024-08-01,2024-08,0.8064516129032258,25.0,11,21.20967741935484,11.919354838709678
2024,9,September,54735748.09999999,2024-09-01,2024-09,1.4933333333333332,44.8,6,23.336666666666666,12.393333333333334
2024,10,October,58396478.580000006,2024-10-01,2024-10,1.2516129032258065,38.800000000000004,10,23.258064516129032,14.516129032258064
2024,11,November,55532304.46999999,2024-11-01,2024-11,4.466666666666667,134.0,11,26.490000000000002,18.189285714285713
2024,12,December,51576100.0,2024-12-01,2024-12,1.2516129032258065,38.800000000000004,7,28.70967741935484,19.44516129032258
2025,1,January,48377566.05,2025-01-01,2025-01,5.04516129032258,156.4,15,27.44516129032258,19.46333333333333
2025,2,February,53562417.829999976,2025-02-01,2025-02,1.9214285714285715,53.800000000000004,7,27.935714285714287,19.918518518518518
2025,3,March,60618732.650000006,2025-03-01,2025-03,4.006451612903226,124.2,16,27.586666666666666,19.825925925925926
2025,4,April,54225904.07,2025-04-01,2025-04,4.38,131.4,14,24.53666666666667,16.616666666666667
2025,5,May,56568669.49000001,2025-05-01,2025-05,6.870967741935484,213.0,21,20.80322580645161,13.919354838709678
2025,6,June,53908206.80000001,2025-06-01,2025-06,0.4799999999999999,14.399999999999999,7,17.85666666666667,8.553333333333335
2025,7,July,53994670.74000001,2025-07-01,2025-07,4.522580645161291,140.20000000000002,11,17.84193548387097,9.238709677419354
2025,8,August,55175780.51,2025-08-01,2025-08,11.025806451612903,341.8,18,17.873333333333335,10.716129032258063
